Law ID,State,State Postal Abbreviation,FIPS Code,Type of Law,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Month,Effective Date Day,Effective Date Year,Statutory Citation,Content,Supercession Date,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Exception Code,Updated Contents?
CO1017,Colorado,CO,08,Minimum purchase and sale age - handguns,,,,,,,,,No law imposing minimum purchase and sale age for handguns,,1,,,,,H,
CO1018,Colorado,CO,08,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,,1,,,,,,
CO1019,Colorado,CO,08,Open Carry not restricted - long guns,,,,,,,,,No law restricting open carry for long guns,,1,,,,,,
CO1020,Colorado,CO,08,Registration - handguns,,,,,,,,,No law requiring registration of handguns,,1,,,,,,
CO1021,Colorado,CO,08,Time for background checks - federal minimum,Restrictive,Implement,2/28/1994,,2,28,1994,Colo. Rev. Stat. § 12-26.5-104(2)(a),"(1) The bureau shall be responsible for administering a statewide instant criminal background check system in connection with the transfer of handguns in this state.
 
   (2) (a) Upon receipt of a request for a criminal history record check from a transferor in accordance with section 12-26.5-103 (2) (d), the bureau, during the transferor's call or within twenty-four hours if subsection (4) of this section applies, shall review its criminal history records to determine if the transferee:
 
   (I) Is prohibited from purchasing, receiving, or possessing a handgun under local, state, or federal law;",2/28/1994,,,,,,,
CO1022,Colorado,CO,08,Time for background checks - federal minimum,Permissive,Repeal,2/28/1994,,2,28,1994,Colo. Rev. Stat. § 12-26.5-104(2)(a),"Upon receipt of a request for a criminal history record check from a transferor in accordance with section 12-26.5-103 (2) (d), the bureau, during the transferor's call or within twenty-four hours if subsection (4) of this section applies, shall review its criminal history records to determine if the transferee [...]                                                                                                                                                                                                                                                                                    (5) Unless notified within twenty-four hours that the transfer is prohibited, and without regard as to whether the bureau has provided a unique approval number, the transferor may complete the transfer and shall not be deemed in violation of this article.",,,,,,,,
CO1023,Colorado,CO,08,Waiting period - handguns,,,,,,,,,No law imposing waiting period for purchase of handguns,,1,,,,,G,
CO1025,Colorado,CO,08,Background checks for private sales - handguns,Restrictive,Implement,3/20/2013,,3,20,2013,Colo. Rev. Stat. § 18-12-112,"(1) (a) On and after July 1, 2013, except as described in subsection (6) of this section, before any person who is not a licensed gun dealer, as defined in section 12-26.1-106 (6), C.R.S., transfers or attempts to transfer possession of a firearm to a transferee, he or she shall:
(I) Require that a background check, in accordance with section 24-33.5-424, C.R.S., be conducted of the prospective transferee; and
(II) Obtain approval of a transfer from the bureau after a background check has been requested by a licensed gun dealer, in accordance with section 24-33.5-424, C.R.S.",,,,,,,,1
CO1026,Colorado,CO,08,Background checks for sales from dealers - long guns,,,,,,,,,No law requiring background checks for sales from dealers of long guns,,1,,,,,,
CO1027,Colorado,CO,08,Child access laws - negligent storage (CAP),,,,,,,,,No law imposing child access laws - negligent storage (CAP),,1,,,,,,
CO1028,Colorado,CO,08,Dealer license - long guns,,,,,,,,,No law requiring dealer license for long guns,,1,,,,,,
CO1029,Colorado,CO,08,Registration - long guns,,,,,,,,,No law requiring registration of long guns,,1,,,,,,
CO1030,Colorado,CO,08,Background checks for private sales - long guns,,,,,,,,,No law requiring background checks for private sales of long guns,,1,,,,,,
CO1031,Colorado,CO,08,Minimum purchase and sale age - long guns,,,,,,,,,No law imposing minimum purchase and sale age for long guns,,1,,,,,,
CO1032,Colorado,CO,08,Waiting period - long guns,,,,,,,,,No law imposing waiting period for purchase of long guns,,1,,,,,,
CO1033,Colorado,CO,08,Prohibited possessor - DVRO - Ex parte - Discretionary,Restrictive,Implement,5/14/2013,,5,14,2013,Colo. Rev. Stat. §§ 13-14-105.5(11); 13-14-104.5(4),"?13-14-105.5(11): A person subject to a civil protection order issued pursuant to?section 13-14-104.5(1)(a)?who possesses or attempts to purchase or receive a firearm or ammunition while the protection order is in effect violates the order pursuant to?section 18-6-803.5(1)(c), C.R.S. (4) 13-14-104.5(4) A motion for a temporary civil protection order shall be set for hearing at the earliest possible time, which hearing may be ex parte, and shall take precedence over all matters, except those matters of the same character that have been on the court docket for a longer period of time. The court shall hear all such motions as expeditiously as possible.",,,,,"This is a ""conditional"" law because the law text says that a judge ""shall have original concurrent jurisdiction"" to order a temporary or permanent civil protection order but is not required to if the person is threatened with domestic abuse. However, if they do decide to issue such a protection order, that person would be barred from owning or purchasing a firearm.",,,
CO1034,Colorado,CO,08,Prohibited possessor - DVRO - Surrender,Restrictive,Implement,5/14/2013,,5,14,2013,Colo. Rev. Stat. § 13-14-105.5(1),"If the court subjects a person to a civil protection order pursuant to a provision of this article and the protection order qualifies as an order described in 18 U.S.C. sec. 922(d)(8) or (g)(8), the court, as part of such order:
(a) Shall order the person to:
(I) Refrain from possessing or purchasing any firearm or ammunition for the duration of the order; and
(II) Relinquish, for the duration of the order, any firearm or ammunition in the respondent's immediate possession or control or subject to the respondent's immediate possession or control; and",,0,,,,,,
CO1035,Colorado,CO,08,Prohibited possessor - DVRO,Restrictive,Implement,5/14/2013,,5,14,2013,Colo. Rev. Stat. §§ 13-14-105.5(11); 13-14-104.5(7),"?13-14-105.5(11): A person subject to a civil protection order issued pursuant to?section 13-14-104.5(1)(a)?who possesses or attempts to purchase or receive a firearm or ammunition while the protection order is in effect violates the order pursuant to?section 18-6-803.5(1)(c), C.R.S. (4) 13-14-104.5(7): (7)(a) A temporary civil protection order may be issued if the issuing judge or magistrate finds that an imminent danger exists to the person or persons seeking protection under the civil protection order. In determining whether an imminent danger exists to the life or health of one or more persons, the court shall consider all relevant evidence concerning the safety and protection of the persons seeking the protection order. The court shall not deny a petitioner the relief requested because of the length of time between an act of abuse or threat of harm and the filing of the petition for a protection order. The court shall not deny a petitioner the relief requested because a protection order has been issued pursuant to section 18-1-1001 or 18-1-1001.5.",,,,,,,,
CO1036,Colorado,CO,08,Safety training required - handguns,,,,,,,,,No law requiring safety training for handguns,,1,,,"(b) If the person taking the test is unable to read, the test shall be administered orally. If the person taking the test is unable to read English or Spanish, the test may be administered orally by a translator.",,,
CO1037,Colorado,CO,08,Prohibited Possessor - ERPO - Expanded,Restrictive,Implement,1/1/2020,,1,1,2020,CO § 13-14.5-104,"13-14.5-104. Petition for extreme risk protection order. (1) A petition for an extreme risk protection order may be filed by a family or household member of the respondent or a law enforcement officer or agency. If the petition is filed by a law enforcement officer or agency, the officer or agency shall be represented in any judicial proceeding by a county or city attorney upon request. If the petition is filed by a family or household member, the petitioner, to the best of his or her ability, shall notify the law enforcement agency in the jurisdiction where the respondent resides of the petition and the hearing date with enough advance notice to allow for participation or attendance. Upon the filing of a petition, the court shall appoint an attorney to represent the respondent, and the court shall include the appointment in the notice of hearing provided to the respondent pursuant to section 13-14.5-105 (1)(a). The respondent may replace the attorney with an attorney of the respondent's own selection at anytime at the respondent's own expense. Attorney fees for the attorney appointed for the respondent shall be paid by the court.",,,,,,,,
CO1038,Colorado,CO,08,Prohibited Possessor - ERPO - Expanded Exparte,Restrictive,Implement,1/1/2020,,1,1,2020,CO § 13-14.5-103,"Temporary extreme risk protection orders. (1) A FAMILY OR HOUSEHOLD MEMBER OF THE RESPONDENT OR A LAW ENFORCEMENT OFFICER OR AGENCY MAY REQUEST A TEMPORARY EXTREME RISK PROTECTION ORDER WITHOUT NOTICE TO THE RESPONDENT BY INCLUDING IN THE PETITION FOR AN EXTREME RISK PROTECTION ORDER AN AFFIDAVIT, SIGNED UNDER OATH AND PENALTY OF PERJURY, SUPPORTING THE ISSUANCE OF A TEMPORARY EXTREME RISK PROTECTION ORDER THAT SETS FORTH THE FACTS TENDING TO ESTABLISH THE GROUNDS OF THE PETITION OR THE REASON FOR BELIEVING THEY EXIST. THE PETITION SHALL COMPLY WITH THE REQUIREMENTS OF SECTION 13-14.5-104 (3). IF THE PETITIONER IS A LAW ENFORCEMENT OFFICER OR LAW ENFORCEMENT AGENCY, THE LAW ENFORCEMENT OFFICER OR LAW ENFORCEMENT AGENCY SHALL CONCURRENTLY FILE A SWORN AFFIDAVIT FOR A SEARCH WARRANT PURSUANT TO SECTION 16-3-301.5 TO SEARCH FOR ANY FIREARMS IN THE POSSESSION OR CONTROL OF THE RESPONDENT AT A LOCATION OR LOCATIONS TO BE NAMED IN THE WARRANT. IF A PETITION PURSUANT TO SECTION 27-65-106 IS ALSO FILED AGAINST THE RESPONDENT, THE COURT CAN HEAR THAT PETITION AT THE SAME TIME AS THE HEARING FOR A TEMPORARY EXTREME RISK PROTECTION ORDER OR THE HEARING FOR A CONTINUING EXTREME RISK PROTECTION ORDER.
2 (2) IN CONSIDERING WHETHER TO ISSUE A TEMPORARY EXTREME RISK PROTECTION ORDER PURSUANT TO THIS SECTION, THE COURT SHALL CONSIDER ALL RELEVANT EVIDENCE, INCLUDING THE EVIDENCE DESCRIBED IN SECTION 13-14.5-105 (3). IF A COURT FINDS BY A PREPONDERANCE OF THE EVIDENCE THAT, BASED ON THE EVIDENCE PRESENTED PURSUANT TO SECTION 13-14.5-105 (3), THE RESPONDENT POSES A SIGNIFICANT RISK OF CAUSING PERSONAL INJURY TO SELF OR OTHERS IN THE NEAR FUTURE BY HAVING IN HIS OR HER CUSTODY OR CONTROL A FIREARM OR BY PURCHASING, POSSESSING, OR RECEIVING A FIREARM, THE COURT SHALL ISSUE A TEMPORARY EXTREME RISK PROTECTION ORDER.",,,,,,,,
CO1039,Colorado,CO,08,Prohibited Possessor - ERPO,,,,,,,,,No law prohibiting possession of firearms by individuals subject to ERPO,,1,,,,,,
CO1040,Colorado,CO,08,Prohibited possessor - DVRO,,,,,,,,,No law prohibiting individuals subject to DVRO from possessing firearms,,1,,,,,,
CO1041,Colorado,CO,08,Prohibited possessor - Mental health,,,,,,,,,No law prohibiting individuals with mental health issues from possessing firearms,,1,,,,,,
CO1042,Colorado,CO,08,Safety training required - long guns,,,,,,,,,No law requiring safety training for long guns,,1,,,,,,
CO1043,Colorado,CO,08,Minimum age for youth possession - long guns,,,,,,,,,No law imposing minimum age for youth possession of long guns,,1,,,,,,
CO1044,Colorado,CO,08,Background checks for sales from dealers – Federal – handguns,Restrictive,Implement,2/28/1994,,2,28,1994,18 U.S.C.A. § 922(t),"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 
(A) after the most recent proposal of such transfer by the transferee— 
(i) the transferor has— 
(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 
(II) verified the identity of the transferee by examining the identification document presented; 
(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transfere",,,,,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),,,1
CO1045,Colorado,CO,08,Background checks for sales from dealers – Federal – long guns,Restrictive,Implement,11/30/1998,,11,30,1998,18 U.S.C.A. § 922(t)(1),"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—
(A) before the completion of the transfer, the licensee contacts the national instant crimin",,,,,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,,,1
CO1046,Colorado,CO,08,Background checks for sales from dealers – Federal – handguns,Restrictive,Implement,11/30/1998,,11,30,1998,18 U.S.C.A. § 922(t)(1),"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—
(A) before the completion of the transfer, the licensee contacts the national instant crimin",,,,,,,,1
CO1047,Colorado,CO,08,Permit to Purchase - handguns,,,,,,,,,No law requiring permit for the purchase of a handgun,,1,,,,,,
CO1048,Colorado,CO,08,Permit to Purchase - long guns,,,,,,,,,No law requiring permit for the purchase of a long gun,,1,,,,,,
CO1049,Colorado,CO,08,Firearm Ban,,,,,,,,,No law imposing any firearm ban,,1,,,,,,
CO1050,Colorado,CO,08,Open Carry not restricted - handguns,,,,,,,,,No law restricting open carry for handguns,,1,,,,,,
CT1001,Connecticut,CT,09,Background checks for permits to purchase - long guns,Restrictive,Implement,4/1/2014,,4,1,2014,Conn. Gen. Stat. § 29-37a(c),"On and after April 1, 2014, no person may purchase or receive any long gun unless such person holds a valid long gun eligibility certificate issued pursuant to section 29-37p, a valid permit to carry a pistol or revolver issued pursuant to subsection (b) of section 29-28, a valid permit to sell at retail a pistol or revolver issued pursuant to subsection (a) of section 29-28 or a valid eligibility certificate for a pistol or revolver issued pursuant to section 29-36f.",,,,,,,,1
CT1002,Connecticut,CT,09,Background checks for private sales - handguns,Restrictive,Implement,10/1/1995,,10,1,1995,Conn. Gen. Stat. § 29-33,"(a) No person, firm or corporation shall sell, deliver or otherwise transfer any pistol or revolver to any person who is prohibited from possessing a pistol or revolver as provided in section 53a-217c.
(b) On and after October 1, 1995, no person may purchase or receive any pistol or revolver unless such person holds a valid permit to carry a pistol or revolver issued pursuant to subsection (b) of section 29-28, a valid permit to sell at retail a pistol or revolver issued pursuant to subsection (a) of section 29-28 or a valid eligibility certificate for a pistol or revolver issued pursuant to section 29-36f or is a federal marshal, parole officer or peace officer.",,,,,,,,1
CT1003,Connecticut,CT,09,Background checks for private sales - handguns,,,,,,,,,No law requiring background checks for private sales of handguns,,1,,,,,,
CT1004,Connecticut,CT,09,Background checks for sales from dealers - handguns,Restrictive,Implement,10/1/1995,,10,1,1995,Conn. Gen. Stat. § 29-33(c),"(c) No person, firm or corporation shall sell, deliver or otherwise transfer any pistol or revolver except upon written application on a form prescribed and furnished by the Commissioner of Emergency Services and Public Protection. Such person, firm or corporation shall ensure that all questions on the application are answered properly prior to releasing the pistol or revolver and shall retain the application, which shall be attached to the federal sale or transfer document, for at least twenty years or until such vendor goes out of business. Such application shall be available for inspection during normal business hours by law enforcement officials. No sale, delivery or other transfer of any pistol or revolver shall be made unless the person making the purchase or to whom the same is delivered or transferred is personally known to the person selling such pistol or revolver or making delivery or transfer thereof or provides evidence of his identity in the form of a motor vehicle operator's license, identity card issued pursuant to section 1-1h or valid passport. No sale, delivery or other transfer of any pistol or revolver shall be made until the person, firm or corporation making such transfer obtains an authorization number from the Commissioner of Emergency Services and Public Protection. Said commissioner shall perform the national instant criminal background check and make a reasonable effort to determine whether there is any reason that would prohibit such applicant from possessing a pistol or revolver as provided in section 53a-217c. If the commissioner determines the existence of such a reason, the commissioner shall deny the sale and no pistol or revolver shall be sold, delivered or otherwise transferred by such person, firm or corporation to such applicant.",,,,,,,,1
CT1005,Connecticut,CT,09,Background checks for sales from dealers - handguns,,,,,,,,,No law requiring background checks for sales from dealers of handguns,,1,,,,,,
CT1006,Connecticut,CT,09,Background checks for sales from dealers - long guns,Restrictive,Implement,10/1/1999,,10,1,1999,Conn. Gen. Stat. § 29-37a(d),"(d) No person, firm or corporation may sell, deliver or otherwise transfer, at retail, any long gun to any person unless such person makes application on a form prescribed and furnished by the Commissioner of Emergency Services and Public Protection, which shall be attached by the transferor to the federal sale or transfer document and filed and retained by the transferor for at least twenty years or until such transferor goes out of business. Such application shall be available for inspection during normal business hours by law enforcement officials. No such sale, delivery or other transfer of any long gun shall be made until the person, firm or corporation making such sale, delivery or transfer has ensured that such application has been completed properly and has obtained an authorization number from the Commissioner of Emergency Services and Public Protection for such sale, delivery or transfer. The Department of Emergency Services and Public Protection shall make every effort, including performing the national instant criminal background check, to determine if the applicant is eligible to receive such long gun.",,,,,,,,1
CT1007,Connecticut,CT,09,Carrying a concealed weapon (CCW) - may issue,Permissive,Implement,1/1/1949,"Not sure about day + month, so using January 1.",1,1,1949,Conn. Gen. Stat. § 29-28(b),"Upon the application of any person having a bona fide permanent residence within the jurisdiction of any such authority, such chief of police, warden or selectman may issue a temporary state permit to such person to carry a pistol or revolver within the state, provided such authority shall find that such applicant intends to make no use of any pistol or revolver which such applicant may be permitted to carry under such permit other than a lawful use and that such person is a suitable person to receive such permit ... . Any person who applies for a temporary state permit to carry a pistol or revolver shall indicate in writing on the application, under penalty of false statement in such manner as the issuing authority prescribes, that such person has not applied for a temporary state permit to carry a pistol or revolver within the past twelve months. Upon issuance of a temporary state permit to carry a pistol or revolver to the applicant, the local authority shall forward the original application to the commissioner. Not later than sixty days after receiving a temporary state permit, an applicant shall appear at a location designated by the commissioner to receive the state permit. The commissioner may then issue, to any holder of any temporary state permit, a state permit to carry a pistol or revolver within the state.",1/1/1969,,,,,"Some disagreement here. Vernick and Hepburn (2003) characterize as ""may issue,"" and note that the Brady Campaign to Prevent Gun Violence does as well, but that the National Rifle Association characterizes as ""shall issue."" We agree that this is ""may issue.""",,1
CT1008,Connecticut,CT,09,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,1/1/1969,"Not sure about day + month, so using January 1.",1,1,1969,Conn. Gen. Stat. § 29-28(b),"Upon the application of any person having a bona fide permanent residence within the jurisdiction of any such authority, such chief of police, warden or selectman may issue a temporary state permit to such person to carry a pistol or revolver within the state, provided such authority shall find that such applicant intends to make no use of any pistol or revolver which such applicant may be permitted to carry under such permit other than a lawful use and that such person is a suitable person to receive such permit ... . Any person who applies for a temporary state permit to carry a pistol or revolver shall indicate in writing on the application, under penalty of false statement in such manner as the issuing authority prescribes, that such person has not applied for a temporary state permit to carry a pistol or revolver within the past twelve months. Upon issuance of a temporary state permit to carry a pistol or revolver to the applicant, the local authority shall forward the original application to the commissioner. Not later than sixty days after receiving a temporary state permit, an applicant shall appear at a location designated by the commissioner to receive the state permit. The commissioner may then issue, to any holder of any temporary state permit, a state permit to carry a pistol or revolver within the state.",,1,,,"Connecticut's concealed-carry law is quite ambiguous and subject to different interpretations. In 1969, Connecticut established a Handgun Review Board to minimize arbitrary denials of permit applications. Sources such as Grossman and Lee (2008), and Ayres and Donohue (2009) consider 1969 to be the year Connecticut became ""shall issue"" in practice. We ultimately agreed, but note that Vernick and Hepburn (2003) characterize the law as remaining ""may issue,"" and the NRA characterizes Connecticut's law as ""reasonable/discretionary issue.""",,,1
CT1061,Connecticut,CT,09,Castle Doctrine,Permissive,Implement,1/2/1900,"Not sure about year, so using 1/1/1900.",1,1,1900,,"Common law castle doctrine. Common law castle doctrine was solidified in the United States throughout the 19th century.  “By the beginning of the twentieth century it was well accepted in the United States that a man attacked in his own home had no duty to retreat before using deadly force, so long as he reasonably believed it necessary to save his own life.” Indeed, by the 1920s, sources note that the castle doctrine expanded to cover situations where the individual had a reasonable fear of imminent death or severe bodily harm. (Catalfamo 509).",10/1/1971,,,,,,,
CT1009,Connecticut,CT,09,Castle Doctrine - Expanded,Permissive,Modify,10/1/1971,,10,1,1971,Conn. Gen. Stat. Ann. § 53a-20,"A person in possession or control of premises, or a person who is licensed or privileged to be in or upon such premises, is justified in using reasonable physical force upon another person when and to the extent that he reasonably believes such to be necessary to prevent or terminate the commission or attempted commission of a criminal trespass by such other person in or upon such premises; but he may use deadly physical force under such circumstances only (1) in defense of a person as prescribed in section 53a-19, or (2) when he reasonably believes such to be necessary to prevent an attempt by the trespasser to commit arson or any crime of violence, or (3) to the extent that he reasonably believes such to be necessary to prevent or terminate an unlawful entry by force into his dwelling as defined in section 53a-100, or place of work, and for the sole purpose of such prevention or termination.",,1,,,,,,1
CT1010,Connecticut,CT,09,Child access laws - negligent storage (CAP),,,,,,,,,No law imposing child access laws - negligent storage (CAP),,1,,,,,,
CT1011,Connecticut,CT,09,Child access laws - negligent storage (CAP),Restrictive,Implement,10/1/1990,,10,1,1990,"Conn. Gen. Stat. §§ 29-37i, 53a-217a","No person shall store or keep any loaded firearm on any premises under his control if he knows or reasonably should know that a minor is likely to gain access to the firearm without the permission of the parent or guardian of the minor unless such person (1) keeps the firearm in a securely locked box or other container or in a location which a reasonable person would believe to be secure or (2) carries the firearm on his person or within such close proximity thereto that he can readily retrieve and use it as if he carried it on his person. For the purposes of this section, ""minor"" means any person under the age of sixteen years.
Sec. 53a-217a. Criminally negligent storage of a firearm: Class D felony.
(a) A person is guilty of criminally negligent storage of a firearm when he violates the provisions of section 29-37c and a minor obtains the firearm and causes the injury or death of himself or any other person. For the purposes of this section, ""minor"" means any person under the age of sixteen years.
(b) The provisions of this section shall not apply if the minor obtains the firearm as a result of an unlawful entry to any premises by any person.
(c) Criminally negligent storage of a firearm is a class D felony.",,,,,,,,1
CT1012,Connecticut,CT,09,Dealer license - handguns,Restrictive,Implement,6/30/1959,,6,30,1959,Conn. Gen. Stat. § 29-28(a) (1992),"(a) No person shall advertise, sell, deliver, or offer or expose for sale or delivery, or have in his possession with intent to sell or deliver, any pistol or revolver at retail without having a permit therefor issued as hereinafter provided. The chief of police or, where there is no chief of police, the warden of the borough or the first selectman of the town, as the case may be, may, upon the application of any person, issue a permit in such form as may be prescribed by the commissioner of public safety for the sale at retail of pistols and revolvers within the jurisdiction of the authority issuing such permit. No permit for the sale at retail of any pistol or revolver shall be issued unless the applicant submits documentation sufficient to establish that local zoning requirements have been met for the location where the sale is to take place except that any person selling or exchanging a pistol or revolver for the enhancement of a personal collection or for a hobby or who sells all or part of his personal collection of pistols or revolvers shall not be required to submit such documentation for the location where the sale or exchange is to take place. Upon the application of any person having a bona fide residence or place of business within the jurisdiction of any such authority or upon the application of any bona fide resident of the United States having a permit or license to carry any firearm issued by the authority of any state or subdivision of the United States, such chief of police, warden or selectman may issue a permit to such person to carry a pistol or revolver within the jurisdiction of the authority issuing the same, provided such authority shall find that such applicant intends to make no use of any pistol or revolver which he may be permitted to carry thereunder other than a lawful use and that such person is a suitable person to receive such permit. Said commissioner may, upon application, issue, to any holder of any such permit, a permit to carry a pistol or revolver within the state. Each permit to carry any pistol or revolver shall be issued in triplicate and one of the copies issued by said commissioner shall be delivered to the person to whom issued, one shall be delivered forthwith to the authority issuing the local permit and one shall be retained by said commissioner, and the local authority issuing any such permit shall forthwith deliver one of such copies to the person to whom issued and one copy to said commissioner and shall retain one of such copies. No permit for carrying a pistol or revolver shall be issued to an alien under the provisions of this subsection.

",10/1/2012,1,,,"1959 act corrected typographical error; P.A. 77-614 replaced commissioner of state police with commissioner of public safety, effective January 1, 1979; P.A. 90-155 added provision re compliance with local zoning requirements; P.A. 92-130 divided section into two Subsecs., inserting new language as Subsec. (b) to prohibit issuing authority from requiring police officers to furnish their residence addresses in permit applications and to require issuing authority to allow police officers who have a permit to carry a pistol or revolver on May 26, 1992, to revise such applications to include business or post office address in lieu of residence address.",,,
CT1013,Connecticut,CT,09,Dealer license - handguns,Restrictive,Modify,10/1/2012,,10,1,2012,Conn. Gen. Stat. § 29-28(a),"
   (a)  No person who sells ten or more pistols or revolvers in a calendar year or is a federally-licensed firearm dealer shall advertise, sell, deliver, or offer or expose for sale or delivery, or have in such person's possession with intent to sell or deliver, any pistol or revolver at retail without having a permit therefor issued as provided in this subsection. The chief of police or, where there is no chief of police, the warden of the borough or the first selectman of the town, as the case may be, may, upon the application of any person, issue a permit in such form as may be prescribed by the Commissioner of Emergency Services and Public Protection for the sale at retail of pistols and revolvers within the jurisdiction of the authority issuing such permit. No permit for the sale at retail of any pistol or revolver shall be issued unless the applicant holds a valid eligibility certificate for a pistol or revolver issued pursuant to section 29-36f or a valid state permit to carry a pistol or revolver issued pursuant to subsection (b) of this section and the applicant submits documentation sufficient to establish that local zoning requirements have been met for the location where the sale is to take place except that any person selling or exchanging a pistol or revolver for the enhancement of a personal collection or for a hobby or who sells all or part of such person's personal collection of pistols or revolvers shall not be required to submit such documentation for the location where the sale or exchange is to take place.",,,,,Also allows people to have fewer than 10 pistols with no permit.,,,
CT1014,Connecticut,CT,09,Dealer license - long guns,,,,,,,,,No law requiring dealer license for long guns,,1,,,,,,
CT1015,Connecticut,CT,09,Firearm Ban - Assault Weapon Ban (long guns),Restrictive,Implement,10/1/1993,,10,1,1993,Conn. Gen. Stat. § 53-202b,"Any person who, within this state, distributes, transports or imports into the state, keeps for sale, or offers or exposes for sale, or who gives any assault weapon, except as provided by?sections 53-202a?to?53-202k, inclusive, shall be guilty of a class C felony and shall be sentenced to a term of imprisonment of which two years may not be suspended or reduced by the court.",,,,,List of banned weapons and features in Conn. Gen Stat. § 53-202a.,,,
CT1016,Connecticut,CT,09,Minimum age for youth possession - handguns,,,,,,,,,No law imposing minimum age for youth possession of handguns,,1,,,,,H,
CT1017,Connecticut,CT,09,Minimum age for youth possession - long guns,,,,,,,,,No law imposing minimum purchase and sale age for long guns,,1,,,,,H,
CT1018,Connecticut,CT,09,Minimum purchase and sale age - handguns,Restrictive,Implement,1/1/1949,"Not sure about day + month, so using January 1.",1,1,1949,Conn. Gen. Stat. § 29-34(b),"No person shall sell, barter, hire, lend, give, deliver or otherwise transfer to any person under the age of eighteen years any pistol or revolver, except that a pistol or revolver may be temporarily transferred to any person only for the use by such person in target shooting or on a firing or shooting range, provided such use is otherwise permitted by law and is under the immediate supervision of a person eligible to possess a pistol or revolver.",10/1/1994,1,18,,,,,
CT1019,Connecticut,CT,09,Minimum purchase and sale age - handguns,Restrictive,Modify,10/1/1994,,10,1,1994,Conn. Gen. Stat. § 29-34(b),"No person shall sell, barter, hire, lend, give, deliver or otherwise transfer to any person under the age of twenty-one years any pistol or revolver, except that a pistol or revolver may be temporarily transferred to any person only for the use by such person in target shooting or on a firing or shooting range, provided such use is otherwise permitted by law and is under the immediate supervision of a person eligible to possess a pistol or revolver.",,,21,,See also Conn. Gen. Stat. § 29-36f(a): Any person who is twenty-one years of age or older may apply to the Commissioner of Emergency Services and Public Protection for an eligibility certificate for a pistol or revolver.,,,
CT1021,Connecticut,CT,09,Minimum purchase and sale age - long guns,Restrictive,Implement,4/4/2013,,4,4,2013,Conn. Gen. Stat. § 29-37a(b),"(b) (1) Except as provided in subdivision (2) of this subsection, no person, firm or corporation may sell, deliver or otherwise transfer, at retail, any long gun to any person under eighteen years of age.",,,18,,,,,
CT1022,Connecticut,CT,09,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,,1,,,,,,
CT1023,Connecticut,CT,09,Open Carry license required - handguns,Permissive,Implement,1/1/1949,"Not sure about day + month, so using January 1.",1,1,1949,Conn. Gen. Stat. § 29-35(a),"No person shall carry any pistol or revolver upon his or her person, except when such person is within the dwelling house or place of business of such person, without a permit to carry the same issued as provided in?section 29-28.",,1,,,,,,
CT1024,Connecticut,CT,09,Permit to Purchase - handguns,Restrictive,Implement,10/1/1995,,10,1,1995,Conn. Gen. Stat. § 29-33,"(a) On and after October 1, 1995, no person may purchase or receive any pistol or revolver unless such person holds a valid permit to carry a pistol or revolver issued pursuant to subsection (b) of section 29-28, a valid permit to sell at retail a pistol or revolver issued pursuant to subsection (a) of section 29-28 or a valid eligibility certificate for a pistol or revolver issued pursuant to section 29-36f or is a federal marshal, sheriff, parole officer or peace officer.",,,,,Originally was found in Conn. Gen. Stat. § 29-36j(a),,,
CT1025,Connecticut,CT,09,Permit to Purchase - long guns,Restrictive,Implement,4/1/2014,,4,1,2014,Conn. Gen. Stat. § 29-37a(c),"On and after April 1, 2014, no person may purchase or receive any long gun unless such person holds a valid long gun eligibility certificate issued pursuant to?section 29-37p, a valid permit to carry a pistol or revolver issued pursuant to subsection (b) of?section 29-28, a valid permit to sell at retail a pistol or revolver issued pursuant to subsection (a) of?section 29-28?or a valid eligibility certificate for a pistol or revolver issued pursuant to?section 29-36f.",,,,,Long gun eligibility certificate required.,,,
